ID_Mensaje;ID_ChatIA;Envia;Recibe;Contenido;Parametros;RutaAudio;FechaMensaje
158;3;BAKEND;IAM;"{""TipoRespuesta"":true,""Mensaje"":""La orden de servicio se registró correctamente."",""Resultado"":[{""ID_OrdenServicio"":5,""ID_Cliente"":6,""ID_Negocio"":2,""Estado"":{""ID_Estado"":6,""Nombre"":"""",""Tabla"":""""},""FechaEstimadaEntrega"":""2025-06-14T00:00:00"",""FechaInicio"":null,""FechaFinal"":null,""FechaEntrega"":null,""NotaOrdenServicio"":""El carro tiene una raya en la puerta delantera derecha"",""ReferenciaJSON"":[{""Nombre"":""Placa"",""Valor"":""DCA123""},{""Nombre"":""Marca"",""Valor"":""Geely GX3""}]}],""Codigo"":""B018""}";"[{""Nombre"":""ID_Cliente"",""Valor"":""6""},{""Nombre"":""ID_Negocio"",""Valor"":""2""},{""Nombre"":""ID_Estado"",""Valor"":""6""},{""Nombre"":""ReferenciaJSON"",""Valor"":""[{\""Nombre\"":\""Placa\"",\""Valor\"":\""DCA123\""},{\""Nombre\"":\""Marca\"",\""Valor\"":\""Geely GX3\""}]""},{""Nombre"":""FechaEstimadaEntrega"",""Valor"":""14/06/2025""},{""Nombre"":""NotaOrdenServicio"",""Valor"":""El carro tiene una raya en la puerta delantera derecha""}]";;2025-05-31 17:38:02.723
159;3;IAM;USUARIO;"Orden de servicio #5 creada exitosamente para **Alvaro Torres** con los siguientes detalles:

- **Vehículo:** Geely GX3 (Placa DCA123)
- **Fecha estimada de entrega:** 14/06/2025
- **Notas:** El carro tiene una raya en la puerta delantera derecha

¿Desea realizar otra acción o finalizar?";[];;2025-05-31 17:38:10.523
160;3;USUARIO;IAM;no gracias;[];NULL;2025-05-31 17:38:45.013
161;3;IAM;USUARIO;¡Gracias por utilizar nuestros servicios! Si necesita asistencia en el futuro, estoy aquí para ayudarle. Que tenga un excelente día.;[];;2025-05-31 17:38:48.823
217;2;USUARIO;IAM;quiero crear una orden de servicio;[];;2025-06-01 02:00:03.083
218;2;IAM;USUARIO;"Para crear una orden de servicio necesitamos identificar al cliente. Por favor indique: 

1. **Nombre del cliente**
2. **Apellido del cliente**";[];;2025-06-01 02:00:09.350
219;2;USUARIO;IAM;el cliente es Aguaje Ramos;[];;2025-06-01 02:00:23.830
220;2;IAM;BAKEND;buscarCliente;"[{""Nombre"":""NombreCliente"",""Valor"":""Aguaje""},{""Nombre"":""ApellidoCliente"",""Valor"":""Ramos""},{""Nombre"":""ID_Negocio"",""Valor"":""1""}]";;2025-06-01 02:00:26.910
221;2;BAKEND;IAM;"{""TipoRespuesta"":true,""Mensaje"":""Busqueda de clientes realizada correctamente"",""Resultado"":[[]],""Codigo"":""A0022""}";"[{""Nombre"":""NombreCliente"",""Valor"":""Aguaje""},{""Nombre"":""ApellidoCliente"",""Valor"":""Ramos""},{""Nombre"":""ID_Negocio"",""Valor"":""1""}]";;2025-06-01 02:00:26.913
222;2;IAM;USUARIO;"No se encontró un cliente registrado con los datos proporcionados. ¿Desea crear un nuevo cliente con la siguiente información?

**Nombre:** Aguaje
**Apellido:** Ramos

¿Desea agregar teléfono o correo electrónico del cliente? (Ejemplo: Tel: 0999123456, Correo: aguaje@example.com)";[];;2025-06-01 02:00:36.840
223;2;USUARIO;IAM;si crear;[];;2025-06-01 02:00:58.717
224;2;IAM;BAKEND;guardarCliente;"[{""Nombre"":""NombreCliente"",""Valor"":""Aguaje""},{""Nombre"":""ApellidoCliente"",""Valor"":""Ramos""},{""Nombre"":""ID_Negocio"",""Valor"":""1""},{""Nombre"":""ID_Usuario"",""Valor"":""3""}]";;2025-06-01 02:01:11.007
225;2;BAKEND;IAM;"{""TipoRespuesta"":true,""Mensaje"":""Cliente guardado correctamente"",""Resultado"":[{""ID_Cliente"":8,""ID_Usuario"":0,""NombreCliente"":""Aguaje"",""ApellidoCliente"":""Ramos"",""TelefonoCliente"":"""",""CorreoCliente"":""""}],""Codigo"":""A0024""}";"[{""Nombre"":""NombreCliente"",""Valor"":""Aguaje""},{""Nombre"":""ApellidoCliente"",""Valor"":""Ramos""},{""Nombre"":""ID_Negocio"",""Valor"":""1""},{""Nombre"":""ID_Usuario"",""Valor"":""3""}]";;2025-06-01 02:01:11.013
226;2;IAM;USUARIO;"Cliente registrado exitosamente. Ahora, necesitamos los detalles de la orden de servicio:

1. **Placa** (Ejemplo: ABC123)
2. **Marca** (Ejemplo: GEELY)
3. **Fecha estimada de entrega** (Ejemplo: 05/06/2025)
4. **Nota adicional** (Opcional)

Por favor, proporcione estos datos en el formato:
Placa: [valor]
Marca: [valor]
Fecha estimada: [valor]
Nota: [valor]";[];;2025-06-01 02:01:18.090
236;2;USUARIO;IAM;la placa sería la yui-8988 es un for mustang y la fecha estimada es en 5 días;[];;2025-06-01 02:14:38.553
237;2;IAM;USUARIO;"Por favor confirme los datos de la orden:

- **Placa:** YUI8988
- **Marca:** Ford Mustang
- **Fecha estimada de entrega:** 06/06/2025
- **Nota:** [Sin nota adicional]

¿Los datos son correctos? (Responda ""Confirmar"" para guardar o ""Corregir"" para modificar)";[];;2025-06-01 02:15:47.483
238;2;USUARIO;IAM;AGREGAR nota, el carro presenta una falla en el arrancador;[];;2025-06-01 02:16:12.217
239;2;IAM;USUARIO;"Resumen actualizado de la orden:

- **Placa:** YUI8988
- **Marca:** Ford Mustang
- **Fecha estimada de entrega:** 06/06/2025
- **Nota:** El carro presenta una falla en el arrancador

¿Confirmar para guardar o desea realizar más ajustes? (Responda ""Confirmar"" o ""Corregir"")";[];;2025-06-01 02:16:19.793
240;2;USUARIO;IAM;confirmar;[];;2025-06-01 02:16:35.927
241;2;IAM;BAKEND;guardarOrdenServicio;"[{""Nombre"":""ID_Cliente"",""Valor"":""8""},{""Nombre"":""ID_Negocio"",""Valor"":""1""},{""Nombre"":""ID_Estado"",""Valor"":""6""},{""Nombre"":""FechaEstimadaEntrega"",""Valor"":""06/06/2025""},{""Nombre"":""ReferenciaJSON"",""Valor"":""[{\""Nombre\"":\""Placa\"",\""Valor\"":\""YUI8988\""},{\""Nombre\"":\""Marca\"",\""Valor\"":\""Ford Mustang\""}]""},{""Nombre"":""NotaOrdenServicio"",""Valor"":""El carro presenta una falla en el arrancador""},{""Nombre"":""ID_Usuario"",""Valor"":""3""}]";;2025-06-01 02:16:45.457
242;2;BAKEND;IAM;"{""TipoRespuesta"":true,""Mensaje"":""La orden de servicio se registró correctamente."",""Resultado"":[{""ID_OrdenServicio"":8,""ID_Cliente"":8,""ID_Negocio"":1,""Estado"":{""ID_Estado"":6,""Nombre"":"""",""Tabla"":""""},""FechaEstimadaEntrega"":""2025-06-06T00:00:00"",""FechaInicio"":null,""FechaFinal"":null,""FechaEntrega"":null,""NotaOrdenServicio"":""El carro presenta una falla en el arrancador"",""ReferenciaJSON"":[{""Nombre"":""Placa"",""Valor"":""YUI8988""},{""Nombre"":""Marca"",""Valor"":""Ford Mustang""}]}],""Codigo"":""B018""}";"[{""Nombre"":""ID_Cliente"",""Valor"":""8""},{""Nombre"":""ID_Negocio"",""Valor"":""1""},{""Nombre"":""ID_Estado"",""Valor"":""6""},{""Nombre"":""FechaEstimadaEntrega"",""Valor"":""06/06/2025""},{""Nombre"":""ReferenciaJSON"",""Valor"":""[{\""Nombre\"":\""Placa\"",\""Valor\"":\""YUI8988\""},{\""Nombre\"":\""Marca\"",\""Valor\"":\""Ford Mustang\""}]""},{""Nombre"":""NotaOrdenServicio"",""Valor"":""El carro presenta una falla en el arrancador""},{""Nombre"":""ID_Usuario"",""Valor"":""3""}]";;2025-06-01 02:16:45.480
243;2;IAM;USUARIO;"✅ **Orden de servicio creada exitosamente**

**Detalles:**
- Cliente: Aguaje Ramos
- Placa: YUI8988
- Marca: Ford Mustang
- Fecha estimada de entrega: 06/06/2025
- Nota: El carro presenta una falla en el arrancador

¿Desea realizar otra acción?";[];;2025-06-01 02:16:48.260
